"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"Acetate",0.10886,0.37252,0.052848,-0.13447,0.01014,-0.14014,-0.11276,-0.03231,-0.060854,0.18028,0.0041273,-0.062471,0.042375,-0.12681,-0.16281,0.03422,0.10118,0.026444,0.048248,0.11453,-0.11463,0.051599,0.20312,0.16003,0.1249,-0.0028487,0.10515,0.32744,-0.00061621,0.15174,0.20874,-0.060007,0.1194,-0.15085,-0.030862,0.16874,-0.02233,-0.088636,0.18789,0.12635,-0.17258,0.061707,-0.12102,0.21025,-0.044014,0.21315,-0.028121,0.071678,0.02303,-0.12911,-0.10129,-0.0015746,-0.06014,-0.16021,-0.078459,0.053218,0.12396,-0.04183,0.058543,0.017761,0.093544,-0.090259,0.14455
"Acetone",0.030541,-0.086118,-0.18644,-0.066548,0.13147,0.19359,-0.048889,-0.14143,0.12076,-0.04538,-0.065133,0.013728,0.27939,0.070816,0.064287,0.24866,0.063207,-0.15451,0.0014506,-0.05064,-0.092698,-0.065236,-0.015169,0.14579,-0.13706,0.073785,0.1642,-0.055476,0.00081211,-0.018053,0.11371,-0.15333,0.12958,0.17107,0.12811,-0.15593,0.042696,0.10563,0.037314,-0.065342,-0.10212,-0.25937,0.091973,0.10765,-0.31925,-0.038554,0.010752,-0.096871,-0.18374,-0.12575,-0.073033,0.21564,0.040246,-0.15682,-0.090658,-0.10941,0.13214,0.11068,-0.015006,-0.043048,-0.13571,0.021397,0.18666
"Adipate",0.13518,0.12564,-0.027499,0.045854,0.0082309,0.11105,0.025599,0.038526,-0.0058921,-0.14503,0.044248,0.12375,0.01898,-0.18903,0.019453,0.067598,0.20646,-0.14732,-0.23793,-0.026684,-0.28139,0.15848,-0.31467,0.065199,-0.31215,-0.0089941,-0.17886,-0.085363,0.10794,-0.076306,0.14717,-0.014388,0.080877,-0.15202,-0.030684,-0.014554,-0.28267,0.10807,-0.032998,-0.0033504,0.020893,0.10609,-0.073535,0.21378,0.23157,0.080013,0.038386,-0.0062872,0.036104,-0.059326,0.18265,-0.044146,0.047723,-0.046488,-0.032547,-0.043493,0.0073963,0.13713,-0.15869,0.013659,0.08216,0.017249,-0.1311
"Alanine",0.15494,0.044092,0.036551,-0.098819,0.034178,-0.032101,0.017745,0.12304,-0.059516,-0.058096,-0.0047999,0.055776,0.050882,0.043598,-0.01793,-0.13547,0.0074385,-0.045446,0.018515,0.032895,0.012167,-0.0067685,0.10687,0.090044,0.087305,-0.00089004,-0.025171,-0.059794,0.047768,0.023052,-0.018224,-0.082269,-0.11443,0.019161,0.028987,-0.024932,0.17477,-0.19409,0.072142,0.10773,0.022849,0.17628,-0.029075,-0.07052,0.10406,0.0031784,0.049478,-0.31851,-0.16198,-0.11186,-0.12533,-0.061781,0.42339,-0.05821,0.025093,-0.22001,-0.012547,-0.010393,-0.39983,-0.31347,0.051966,0.25123,0.028364
"Asparagine",0.12561,-0.027447,-0.074336,-0.022383,-0.025342,-0.031631,-0.00050161,0.050766,-0.070913,-0.063997,0.019408,0.062806,-0.046086,-0.00016871,-0.0088625,0.040519,0.089324,-0.010932,0.14106,-0.045232,0.0131,-0.092118,0.0092617,-0.058078,-0.035942,-0.091296,0.083508,-0.072634,0.11265,-0.053968,0.035574,-0.063622,0.11333,0.34686,-0.023998,0.050107,0.23383,-0.10307,-0.06799,0.15277,0.1136,0.18526,0.16355,0.067848,0.32534,0.13618,-0.1731,-0.0282,-0.31326,0.032423,0.28851,0.21872,-0.28428,-0.076929,-0.013487,0.21395,0.091907,-0.072544,0.030046,-0.10702,0.090538,-0.082872,0.060578
"Betaine",0.14006,-0.095813,0.042282,-0.16576,0.26663,0.006236,0.077667,0.0026296,0.016936,0.10871,-0.010572,0.14032,-0.00167,0.32144,-0.11108,0.082313,-0.051965,-0.17784,0.20769,0.13247,0.023438,0.05736,0.067809,0.0055006,-0.060038,-0.17512,-0.25633,0.05892,0.028952,0.040202,-0.19273,-0.04644,-0.044554,0.020149,0.07442,-0.11062,-0.052621,0.14151,0.12632,-0.19678,0.088979,0.029848,0.0015527,0.35124,0.023714,0.16225,0.12864,-0.059939,-0.021004,-0.02723,-0.11713,-0.1021,-0.038533,0.10698,0.26548,0.23908,-0.036917,-0.025352,0.086095,-0.0064208,0.051074,0.066006,-0.050789
"Carnitine",0.10091,-0.059419,-0.21972,-0.0075662,0.40298,0.15244,-0.13432,-0.11817,-0.10826,-0.10498,-0.29178,-0.18616,-0.23761,-0.22368,-0.18253,-0.13851,-0.082888,0.12329,-0.041016,-0.0034049,0.12061,-0.018151,0.022231,0.018919,0.12059,-0.014011,-0.13435,-0.18762,-0.043638,0.0616,-0.02331,-0.13391,0.040842,0.13438,0.22454,0.15668,-0.016294,0.083927,-0.036011,0.12963,0.015357,0.0027073,-0.16752,0.13952,-0.0039978,-0.033886,-0.013807,-0.090865,0.16069,0.18003,0.026333,0.011913,0.06561,-0.14083,-0.039464,0.017676,-0.0051152,0.0057478,-0.061989,0.10259,-0.028716,-0.094473,-0.019806
"Citrate",0.14195,-0.17162,0.071295,-0.075768,0.013156,-0.32504,0.061308,-0.030984,0.083334,-0.099729,-0.16979,0.14384,-0.018052,0.035631,-0.064591,0.20432,-0.14758,-0.093554,-0.10622,0.098226,-0.13972,0.031596,0.053048,-0.058326,-0.0079619,0.14296,-0.11601,-0.062951,-0.062582,-0.13588,0.11755,-0.033028,0.0097911,-0.08212,-0.11872,0.094756,-0.050721,-0.081017,-0.038751,0.18374,0.20482,-0.31093,0.0084202,-0.091732,0.079222,0.029404,-0.011243,0.14272,-0.073688,0.13976,-0.088398,0.039795,0.10134,-0.35367,0.18617,-0.114,-0.11216,-0.24721,0.096015,0.025621,0.084114,-0.058035,0.035455
"Creatine",0.15733,0.076267,0.020464,0.28293,0.19162,0.23491,0.48525,-0.080833,-0.3603,0.1843,-0.042549,-0.0092131,0.016142,-0.03149,-0.18179,0.060252,0.031948,-0.11602,0.051675,0.091212,-0.017074,0.10027,0.16197,0.022171,-0.042743,0.21398,0.10579,0.0427,-0.1471,-0.024894,0.13208,-0.039649,-0.025723,0.063412,-0.18484,0.0071285,0.037344,0.064789,-0.12623,-0.068497,-0.065183,0.064847,0.047273,-0.18799,0.026756,-0.090648,0.08073,0.061636,0.010662,-0.054381,0.064752,0.090229,0.060641,-0.00050271,0.039389,0.072736,-0.12056,-0.012305,0.047581,0.033419,0.012453,0.1068,-0.032608
"Creatinine",0.12984,-0.014631,0.046233,0.064227,-0.07022,-0.0082685,-0.040779,0.013488,0.057188,0.060918,-0.073912,-0.023386,-0.0012508,0.0055372,0.092594,0.051927,0.040914,0.016528,0.0063535,-0.012522,-0.015304,0.044912,0.031418,0.017724,0.0053548,-0.03935,0.086492,-0.0046847,0.031015,-0.020054,-0.14259,0.018331,-0.065824,-0.0034697,0.089626,0.029787,0.036819,-0.042713,-0.03155,-0.013788,-0.18385,0.066175,-0.14427,-0.054278,-0.033277,0.022765,-0.20955,-0.048777,-0.17757,-0.0021425,-0.14498,0.01394,-0.092005,-0.35972,0.031937,0.057589,0.097114,0.10226,0.11041,0.24331,-0.082968,0.35228,-0.60334
"Dimethylamine",0.12616,0.0062182,0.01095,0.031652,-0.12092,0.034775,-0.015573,-0.041438,0.073146,0.1346,-0.1122,-0.031582,-0.039059,0.0588,0.049839,0.048827,0.094097,0.0017474,-0.039345,0.073262,0.014095,-0.010436,0.036464,-0.084368,0.0086836,-0.034842,0.06678,-0.03493,0.17731,-0.074618,-0.10549,0.060229,-0.013963,0.0016639,0.013867,0.0086849,-0.11028,0.12223,-0.18667,-0.0016376,-0.053622,0.070888,0.034587,-0.1539,0.00351,-0.14068,-0.28323,-0.093267,0.04193,-0.060782,-0.19627,-0.048916,0.10208,-0.095555,0.27527,0.21164,0.067894,0.27419,-0.21467,0.23425,0.33354,-0.17699,0.3482
"Ethanolamine",0.14536,-0.084506,0.023541,0.00084205,-0.032419,-0.10048,0.0076764,0.034792,0.0016132,0.074605,-0.050719,-0.031881,0.021084,-0.12315,0.14309,0.14431,-0.015459,-0.14773,0.070855,0.012986,0.067564,-0.040554,-0.034559,0.076967,-0.022743,0.086361,0.090115,-0.06454,0.0028501,-0.062099,0.014242,0.12187,-0.12575,-0.042099,0.27029,0.074714,0.13509,-0.16269,0.084542,-0.1182,0.050738,0.19892,-0.0058071,-0.11953,0.048766,0.064469,0.5069,-0.14841,0.082017,0.086946,0.13981,-0.048614,0.032517,-0.081292,0.018455,-0.12825,0.18809,0.23815,0.29517,0.13385,0.1518,-0.15655,0.059681
"Formate",0.11189,0.072213,-0.13837,-0.01431,0.15184,-0.21634,-0.06629,-0.012754,0.030646,-0.045855,0.066338,-0.084937,0.0037146,-0.01415,-0.0026551,0.20293,0.066065,-0.0010625,-0.046184,0.2503,-0.17514,0.0081257,0.12134,-0.051628,0.090889,-0.24142,-0.14371,0.045561,-0.15199,0.021624,0.16709,0.1903,-0.10173,-0.014858,0.11272,-0.17765,0.14223,0.26268,-0.18141,0.023908,0.14815,-0.03712,-0.028296,-0.27004,-0.15004,-0.061116,-0.032784,-0.066803,-0.074387,-0.042147,0.17577,-0.22629,-0.058997,0.098479,-0.27696,0.10058,0.11881,-0.046025,-0.082718,-0.018622,0.098291,0.06131,-0.074433
"Fucose",0.12746,0.0032704,0.025234,0.092013,-0.11469,-0.00060515,-0.089903,-0.043135,0.0083525,-0.00032259,-0.0208,-0.012505,-0.1231,-0.081135,0.064693,-0.058919,0.084644,0.0074895,0.10223,-0.14525,-0.14377,0.1823,0.062414,0.16747,0.085077,-0.28375,-0.047395,0.007854,-0.19236,-0.14506,-0.083559,0.0029391,0.18156,-0.14926,0.27687,0.13747,-0.066912,0.1867,0.15824,-0.15481,-0.046474,0.056924,0.0061143,-0.17956,0.10147,-0.20335,0.068667,0.095968,-0.17493,0.047637,0.011447,0.11126,-0.10351,-0.074014,0.11728,-0.0088551,-0.2555,-0.044247,0.047554,-0.1405,-0.14214,0.19339,0.27775
"Fumarate",0.11861,-0.0027911,0.061871,-0.29426,-0.079701,0.17411,0.13892,-0.021892,-0.019453,-0.007972,0.035283,0.075059,-0.024984,-0.016275,-0.14525,-0.014025,0.044915,0.12082,-0.033863,-0.20501,-0.17393,-0.087635,-0.1157,0.13014,0.1056,-0.038021,-0.087466,0.1121,0.18085,-0.011519,-0.17912,0.030903,0.10757,0.051807,-0.15192,-0.10443,0.06428,-0.1004,-0.09425,0.019131,0.00049174,0.012983,0.14769,-0.026084,-0.093578,-0.21687,0.07849,-0.12711,0.072685,0.041126,0.079536,-0.36562,0.091914,-0.29925,-0.20737,0.19712,-0.10474,-0.046262,0.22242,0.0070368,-0.11801,-0.02319,0.080175
"Glucose",0.13999,0.2044,0.052942,-0.28305,-0.041741,0.15196,-0.030464,0.025721,-0.0048084,0.0016966,0.209,-0.15326,0.06242,0.078433,-0.03273,-0.0057428,0.1331,-0.11437,-0.015924,0.014707,0.14182,-0.16773,0.11276,-0.40039,-0.040998,0.18041,-0.28953,-0.096344,-0.1325,0.077978,-0.13215,-0.0076007,0.11372,-0.22833,0.091772,-0.099617,-0.056199,-0.066135,0.072234,0.11502,-0.085918,0.026365,0.070003,-0.10335,-0.069303,-0.12187,0.11842,0.056784,-0.026916,0.077572,0.16592,0.25413,-0.059926,-0.10738,0.043679,0.016468,0.051329,-0.06783,-0.13308,0.13022,-0.03355,0.027162,-0.0045194
"Glutamine",0.15732,-0.066177,-0.057974,-0.072392,-0.020961,-0.062572,-0.014106,0.10036,-0.071361,0.0063763,-0.0012179,0.079953,-0.026653,0.041611,-0.0088327,-0.0671,-0.03274,-0.14902,0.0062246,0.11283,0.10303,0.061687,0.016544,0.085687,0.19406,-0.020372,-0.043652,0.028943,-0.020933,-0.17285,0.17783,-0.01952,0.19108,-0.013416,-0.069393,0.00035053,-0.054052,-0.19621,0.069831,0.13504,0.094237,-0.015071,-0.033333,-0.064028,-0.21363,-0.075499,-0.034842,-0.059025,-0.071456,-0.13963,0.08157,-0.066552,-0.1807,0.10404,0.1413,0.012515,-0.25091,0.42151,-0.12848,0.0012466,-0.30264,-0.31599,-0.20884
"Glycine",0.14848,-0.080081,-0.070988,-0.043054,-0.031499,-0.32642,0.042396,0.0062864,-0.11452,-0.10614,-0.01101,-0.025093,-0.12204,0.080532,0.079195,-0.019973,-0.1324,-0.090773,-0.022476,-0.033788,0.097247,-0.044286,0.14734,0.14157,0.072161,0.19242,-0.042076,-0.16152,0.18697,-0.16205,0.048229,0.025059,0.12198,0.0047495,-0.11756,0.1311,-0.30714,0.16694,0.036903,0.023232,-0.25288,0.098369,0.28013,0.015803,-0.010472,0.027806,0.04687,-0.045743,0.012443,0.064432,-0.034562,-0.045337,0.0038533,0.18311,-0.19817,0.10532,0.2603,-0.041789,-0.033932,0.1005,-0.1734,0.22775,0.074471
"Glycolate",0.12956,-0.13114,0.079149,0.1686,-0.011142,-0.14713,-0.2675,0.19405,-0.044789,-0.028781,-0.08974,0.10644,-0.24117,-0.064936,-0.00079411,-0.24917,0.39334,0.025894,0.24627,0.14949,0.033024,-0.061028,-0.004449,-0.081421,-0.32722,0.080056,0.10592,-0.046204,0.017979,0.13124,0.063964,-0.18392,0.039619,-0.081743,-0.14121,-0.16089,0.099479,0.094311,-0.01709,0.044652,-0.034884,-0.15104,0.048881,-0.033641,-0.080486,-0.07744,0.16089,-0.14427,0.089955,-0.10033,-0.091975,-0.04857,-0.052708,-0.047901,-0.026762,0.062308,-0.070921,-0.07838,0.080235,0.033857,-0.039923,0.011766,0.022188
"Guanidoacetate",0.095837,-0.049458,0.10685,0.10794,0.055109,-0.073265,0.080123,0.10332,-0.28386,0.11747,-0.051214,-0.032571,0.17518,-0.17469,-0.01473,0.069936,0.18496,0.064124,0.18237,0.037147,-0.23618,0.020351,-0.16,-0.28053,0.37565,-0.079024,0.12321,-0.20517,0.15324,-0.16934,-0.20768,0.1216,-0.068831,-0.099551,0.050402,-0.036759,-0.08014,-0.045661,-0.017386,-0.0081607,0.036699,-0.1028,0.033155,0.26965,-0.096273,-0.061017,0.0034912,-0.0063591,-0.063502,-0.010805,-0.090367,0.048689,-0.060781,0.076924,-0.061085,-0.17063,0.083341,-0.13645,-0.064767,0.0053901,-0.068224,-0.097207,0.0072185
"Hippurate",0.11375,0.12644,0.15099,0.37741,0.15747,0.002092,0.048795,-0.17547,0.22714,0.094638,0.026997,0.080437,-0.117,0.29613,0.13618,-0.19583,0.17544,-0.085862,-0.22877,-0.17178,-0.13232,-0.23397,0.00051318,-0.026929,0.23968,0.1314,-0.055084,-0.012552,0.0080493,-0.026808,-0.017453,-0.081513,-0.1875,-0.070969,0.027236,0.10855,0.14843,0.062951,0.185,0.14351,0.092896,-0.12664,0.028246,0.097716,-0.0094414,0.070261,-0.046739,0.00052786,-0.0056136,0.0030214,0.1633,-0.078588,-0.018373,-0.0035999,-0.046923,0.032931,0.035559,0.13236,0.045459,0.0010504,-0.05818,0.030288,0.07615
"Histidine",0.15747,-0.074439,-0.1038,0.094809,0.061432,-0.15066,-0.087032,0.17342,-0.083278,-0.13883,0.082322,0.069065,0.14153,0.1535,0.04249,-0.097997,-0.075043,-0.0038493,-0.1001,-0.066535,-0.058502,-0.063703,-0.097396,-0.12467,0.074223,-0.044684,0.11256,0.062323,-0.22815,0.15073,-0.093021,-0.078551,-0.042005,-0.022557,0.032055,0.066396,-0.21588,-0.062451,-0.21812,-0.1939,0.16163,0.29685,0.03195,-0.033545,-0.17332,0.27075,-0.072204,0.0042775,0.13803,-0.153,-0.00032513,0.22519,0.15769,-0.18239,-0.17178,0.12997,-0.18114,-0.0019177,0.080515,0.048168,-0.082456,-0.030975,0.10643
"Hypoxanthine",0.13718,-0.11602,0.10002,-0.021545,-0.2192,0.014932,-0.040007,0.006906,0.17729,0.033648,-0.12327,-0.10095,0.088293,-0.13676,0.076498,0.11069,-0.023231,-0.21964,-0.045961,0.055619,-0.070056,-0.025061,-0.050395,-0.086628,-0.066735,0.062832,0.060279,0.090141,-0.14896,0.015651,0.014751,-0.15471,-0.23385,0.15357,-0.086813,0.19055,0.076399,0.083586,-0.11617,0.15302,-0.13421,0.32387,-0.087167,0.25314,-0.29774,-0.15082,0.044956,0.055733,-0.0059038,0.23058,0.06951,-0.15024,-0.081883,0.11903,0.089354,0.058548,-0.13903,-0.15297,-0.11648,-0.088835,-0.059317,0.049781,0.049241
"Isoleucine",0.085042,-0.0061499,0.036266,-0.088456,0.00055931,0.077412,-0.024552,0.024884,0.018737,-0.03291,0.0018282,0.08745,0.12153,0.063754,0.13155,-0.020277,-0.048289,0.016407,0.05637,-0.080269,0.041601,-0.17032,0.16433,0.33187,0.18113,-0.021899,0.14653,-0.095933,-0.13575,0.0094334,0.12201,-0.06181,-0.26288,-0.081961,-0.022324,-0.4188,-0.24275,0.052785,-0.062971,0.1337,-0.058472,0.054096,-0.13556,0.083894,0.26091,-0.13688,-0.027119,-0.1352,0.080499,0.00077208,0.068008,0.058044,-0.20365,-0.0013929,-0.0028197,-0.10457,-0.14717,-0.17956,0.011002,0.21008,0.07632,-0.074069,0.015499
"Lactate",0.12736,0.16396,0.11772,-0.20785,-0.040452,0.074821,-0.008201,0.058758,-0.056288,-0.0049948,0.052269,-0.33094,0.1305,-0.063719,0.093154,-0.32662,0.034273,-0.11875,0.02333,-0.075271,-0.08768,-0.13059,0.062178,0.14663,-0.12456,0.043725,-0.045405,0.022285,0.15032,-0.020383,0.13207,0.22717,-0.087633,0.10577,0.035968,0.23978,0.014289,0.15623,-0.26527,-0.039118,0.3037,-0.19501,-0.014025,0.010687,-0.013593,0.09486,-0.0098692,-0.11245,-0.094826,-0.024088,-0.13587,0.09101,0.0117,0.1309,0.13016,-0.043139,-0.091742,-0.057585,0.14743,0.098508,-0.097756,0.030978,-0.028408
"Leucine",0.11855,-0.0099862,0.015168,-0.038263,0.00078257,0.066477,-0.042342,0.016094,-0.025698,-0.025479,0.018284,-0.058924,0.11456,0.11017,-0.025502,-0.14372,-0.070164,-0.05943,-0.02236,-0.02106,0.10994,0.051236,-0.064982,-0.15972,-0.04412,0.10989,0.083409,-0.10082,-0.1704,-0.1734,0.035765,-0.13403,0.12705,-0.055589,0.13653,0.03391,0.12831,-0.0057898,-0.07334,-0.2093,-0.29417,-0.10393,-0.10216,-0.00097552,0.17038,0.20448,-0.089505,0.055461,-0.31993,-0.058186,0.0056208,-0.45898,0.051193,0.076739,-0.1634,-0.069795,-0.13077,-0.13577,0.014691,0.18725,0.056071,-0.18226,0.067519
"Lysine",0.1078,-0.039567,-0.16504,-0.00060381,0.0045939,0.12694,-0.1988,0.063635,-0.047593,-0.11337,0.051604,-0.0049325,-0.17819,0.035036,-0.24043,-0.12172,-0.14063,-0.36048,-0.22133,-0.1401,0.045123,0.27074,-0.0085992,-0.18034,0.08092,-0.15756,0.2515,0.30232,0.031697,-0.10937,-0.041987,0.054945,-0.10108,-0.14602,-0.094306,-0.13628,0.06438,-0.009413,-0.063865,0.14265,-0.01561,-0.096715,0.069263,0.075531,0.039986,-0.1141,0.029677,-0.084083,-0.060854,0.061052,-0.019319,0.12398,0.04412,0.1108,0.015832,-0.069111,0.15091,0.015316,0.18484,0.04393,0.083464,0.082047,0.029329
